Name,Page,Importance_index,Book,IsChapter
5.13.1 Cooperation Strategies,234,3,2015_machine_learning_a_bayesian_perspective,False
Centralized networks,234,4,2015_machine_learning_a_bayesian_perspective,False
Decentralized networks,235,4,2015_machine_learning_a_bayesian_perspective,False
5.13.2 The Diffusion LMS,236,3,2015_machine_learning_a_bayesian_perspective,False
5.13.3 Convergence and Steady-State Performance: Some Highlights,243,3,2015_machine_learning_a_bayesian_perspective,False
5.13.4 Consensus-Based Distributed Schemes,245,3,2015_machine_learning_a_bayesian_perspective,False
5.14  A Case Study: Target Localization,247,2,2015_machine_learning_a_bayesian_perspective,False
5.15 Some Concluding Remarks: Consensus Matrix,248,2,2015_machine_learning_a_bayesian_perspective,False
Problems,249,2,2015_machine_learning_a_bayesian_perspective,False
MATLAB Exercises,251,3,2015_machine_learning_a_bayesian_perspective,False
References,252,2,2015_machine_learning_a_bayesian_perspective,False
Chapter 6: The Least-Squares Family,258,1,2015_machine_learning_a_bayesian_perspective,True
6.1 Introduction,259,2,2015_machine_learning_a_bayesian_perspective,False
6.2 Least-Squares Linear Regression: A Geometric Perspective,259,2,2015_machine_learning_a_bayesian_perspective,False
6.3 Statistical Properties of the LS Estimator,261,2,2015_machine_learning_a_bayesian_perspective,False
The LS estimator is unbiased,261,3,2015_machine_learning_a_bayesian_perspective,False
Covariance matrix of the LS estimator,261,3,2015_machine_learning_a_bayesian_perspective,False
The LS estimator is BLUE in the presence of white noise,262,3,2015_machine_learning_a_bayesian_perspective,False
The LS estimator achieves the Cramér-Rao bound for white Gaussian noise,263,3,2015_machine_learning_a_bayesian_perspective,False
Asymptotic distribution of the LS estimator,263,3,2015_machine_learning_a_bayesian_perspective,False
6.4 Orthogonalizing the Column Space of X: The SVD Method,264,2,2015_machine_learning_a_bayesian_perspective,False
Pseudo-inverse matrix and SVD,265,3,2015_machine_learning_a_bayesian_perspective,False
6.5 Ridge Regression,268,2,2015_machine_learning_a_bayesian_perspective,False
Principal components regression,269,3,2015_machine_learning_a_bayesian_perspective,False
6.6 The Recursive Least-Squares Algorithm,270,2,2015_machine_learning_a_bayesian_perspective,False
"Time-iterative computations of Φn, pn",271,3,2015_machine_learning_a_bayesian_perspective,False
Time updating of θn,272,3,2015_machine_learning_a_bayesian_perspective,False
6.7 Newton's Iterative Minimization Method,273,2,2015_machine_learning_a_bayesian_perspective,False
6.7.1 RLS and Newton's Method,276,3,2015_machine_learning_a_bayesian_perspective,False
6.8 Steady-State Performance of the RLS,277,2,2015_machine_learning_a_bayesian_perspective,False
6.9 Complex-Valued Data: The Widely Linear RLS,279,2,2015_machine_learning_a_bayesian_perspective,False
6.10 Computational Aspects of the LS Solution,280,2,2015_machine_learning_a_bayesian_perspective,False
Cholesky factorization,280,3,2015_machine_learning_a_bayesian_perspective,False
QR factorization,280,3,2015_machine_learning_a_bayesian_perspective,False
Fast RLS versions,281,3,2015_machine_learning_a_bayesian_perspective,False
6.11 The Coordinate and Cyclic Coordinate Descent Methods,283,2,2015_machine_learning_a_bayesian_perspective,False
6.12 Simulation Examples,284,2,2015_machine_learning_a_bayesian_perspective,False
6.13 Total-Least-Squares,286,2,2015_machine_learning_a_bayesian_perspective,False
Geometric interpretation of the total-least-squares method,291,3,2015_machine_learning_a_bayesian_perspective,False
Problems,293,2,2015_machine_learning_a_bayesian_perspective,False
MATLAB Exercises,296,3,2015_machine_learning_a_bayesian_perspective,False
References,297,2,2015_machine_learning_a_bayesian_perspective,False
Chapter 7: Classification: A Tour of the Classics,300,1,2015_machine_learning_a_bayesian_perspective,True
7.1 Introduction,300,2,2015_machine_learning_a_bayesian_perspective,False
7.2 Bayesian Classification,301,2,2015_machine_learning_a_bayesian_perspective,False
The Bayesian classifier minimizes the misclassification error,302,3,2015_machine_learning_a_bayesian_perspective,False
7.2.1 Average Risk,303,3,2015_machine_learning_a_bayesian_perspective,False
7.3 Decision (Hyper)Surfaces,305,2,2015_machine_learning_a_bayesian_perspective,False
7.3.1 The Gaussian Distribution Case,307,3,2015_machine_learning_a_bayesian_perspective,False
Minimum distance classifiers,310,4,2015_machine_learning_a_bayesian_perspective,False
7.4 The Naive Bayes Classifier,312,2,2015_machine_learning_a_bayesian_perspective,False
7.5 The Nearest Neighbor Rule,313,2,2015_machine_learning_a_bayesian_perspective,False
7.6 Logistic Regression,315,2,2015_machine_learning_a_bayesian_perspective,False
7.7 Fisher's Linear Discriminant,319,2,2015_machine_learning_a_bayesian_perspective,False
7.8 Classification Trees,325,2,2015_machine_learning_a_bayesian_perspective,False
7.9 Combining Classifiers,329,2,2015_machine_learning_a_bayesian_perspective,False
Experimental comparisons,329,3,2015_machine_learning_a_bayesian_perspective,False
Schemes for combining classifiers,330,3,2015_machine_learning_a_bayesian_perspective,False
7.10 The Boosting Approach,332,2,2015_machine_learning_a_bayesian_perspective,False
The AdaBoost algorithm,332,3,2015_machine_learning_a_bayesian_perspective,False
The log-loss function,336,3,2015_machine_learning_a_bayesian_perspective,False
7.11 Boosting Trees,338,2,2015_machine_learning_a_bayesian_perspective,False
7.12 A Case Study: Protein Folding Prediction,339,2,2015_machine_learning_a_bayesian_perspective,False
Protein folding prediction as a classification task,341,3,2015_machine_learning_a_bayesian_perspective,False
Classification of folding prediction via decision trees,343,3,2015_machine_learning_a_bayesian_perspective,False
Problems,343,2,2015_machine_learning_a_bayesian_perspective,False
MATLAB Exercises,345,3,2015_machine_learning_a_bayesian_perspective,False
References,348,2,2015_machine_learning_a_bayesian_perspective,False
Chapter 8: Parameter Learning: A Convex Analytic Path,352,1,2015_machine_learning_a_bayesian_perspective,True
8.1 Introduction,353,2,2015_machine_learning_a_bayesian_perspective,False
8.2 Convex Sets and Functions,354,2,2015_machine_learning_a_bayesian_perspective,False
8.2.1 Convex Sets,354,3,2015_machine_learning_a_bayesian_perspective,False
8.2.2 Convex Functions,355,3,2015_machine_learning_a_bayesian_perspective,False
8.3 Projections onto Convex Sets,358,2,2015_machine_learning_a_bayesian_perspective,False
8.3.1 Properties of Projections,362,3,2015_machine_learning_a_bayesian_perspective,False
8.4 Fundamental Theorem of Projections onto Convex Sets,366,2,2015_machine_learning_a_bayesian_perspective,False
8.5 A Parallel Version of POCS,369,2,2015_machine_learning_a_bayesian_perspective,False
8.6 From Convex Sets to Parameter Estimation and Machine Learning,370,2,2015_machine_learning_a_bayesian_perspective,False
8.6.1 Regression,370,3,2015_machine_learning_a_bayesian_perspective,False
8.6.2 Classification,372,3,2015_machine_learning_a_bayesian_perspective,False
8.7 Infinite Many Closed Convex Sets: The Online Learning Case,374,2,2015_machine_learning_a_bayesian_perspective,False
8.7.1 Convergence of APSM,376,3,2015_machine_learning_a_bayesian_perspective,False
Some practical hints,377,4,2015_machine_learning_a_bayesian_perspective,False
8.8 Constrained Learning,381,2,2015_machine_learning_a_bayesian_perspective,False
8.9 The Distributed APSM,382,2,2015_machine_learning_a_bayesian_perspective,False
8.10 Optimizing Nonsmooth Convex Cost Functions,383,2,2015_machine_learning_a_bayesian_perspective,False
8.10.1 Subgradients and Subdifferentials,384,3,2015_machine_learning_a_bayesian_perspective,False
8.10.2 Minimizing Nonsmooth Continuous Convex Loss Functions: The BatchLearning Case,387,3,2015_machine_learning_a_bayesian_perspective,False
The subgradient method,388,4,2015_machine_learning_a_bayesian_perspective,False
The generic projected subgradient scheme,390,4,2015_machine_learning_a_bayesian_perspective,False
The projected gradient method (PGM),390,4,2015_machine_learning_a_bayesian_perspective,False
Projected subgradient method,391,4,2015_machine_learning_a_bayesian_perspective,False
8.10.3 Online Learning for Convex Optimization,392,3,2015_machine_learning_a_bayesian_perspective,False
The PEGASOS algorithm,394,4,2015_machine_learning_a_bayesian_perspective,False
8.11 Regret Analysis,395,2,2015_machine_learning_a_bayesian_perspective,False
Regret analysis of the subgradient algorithm,397,3,2015_machine_learning_a_bayesian_perspective,False
8.12 Online Learning and Big Data Applications: A Discussion,399,2,2015_machine_learning_a_bayesian_perspective,False
"Approximation, estimation and optimization errors",399,3,2015_machine_learning_a_bayesian_perspective,False
Batch versus online learning,401,3,2015_machine_learning_a_bayesian_perspective,False
8.13 Proximal Operators,404,2,2015_machine_learning_a_bayesian_perspective,False
8.13.1 Properties of the Proximal Operator,407,3,2015_machine_learning_a_bayesian_perspective,False
8.13.2 Proximal Minimization,408,3,2015_machine_learning_a_bayesian_perspective,False
Resolvent of the subdifferential mapping,409,4,2015_machine_learning_a_bayesian_perspective,False
8.14 Proximal Splitting Methods for Optimization,410,2,2015_machine_learning_a_bayesian_perspective,False
The proximal forward-backward splitting operator,411,3,2015_machine_learning_a_bayesian_perspective,False
Alternating direction method of multipliers (ADMM),412,3,2015_machine_learning_a_bayesian_perspective,False
Mirror descent algorithms,413,3,2015_machine_learning_a_bayesian_perspective,False
Problems,414,2,2015_machine_learning_a_bayesian_perspective,False
MATLAB Exercises,417,3,2015_machine_learning_a_bayesian_perspective,False
8.15 Appendix to Chapter 8,418,2,2015_machine_learning_a_bayesian_perspective,False
References,423,2,2015_machine_learning_a_bayesian_perspective,False
Chapter 9: Sparsity-Aware Learning: Concepts and Theoretical Foundations,428,1,2015_machine_learning_a_bayesian_perspective,True
9.1 Introduction,428,2,2015_machine_learning_a_bayesian_perspective,False
9.2 Searching for a Norm,429,2,2015_machine_learning_a_bayesian_perspective,False
9.3 The Least Absolute Shrinkage and Selection Operator (LASSO),432,2,2015_machine_learning_a_bayesian_perspective,False
9.4 Sparse Signal Representation,436,2,2015_machine_learning_a_bayesian_perspective,False
9.5 In Search of the Sparsest Solution,440,2,2015_machine_learning_a_bayesian_perspective,False
The l2 norm minimizer,442,3,2015_machine_learning_a_bayesian_perspective,False
The l0 norm minimizer,442,3,2015_machine_learning_a_bayesian_perspective,False
The l1 norm minimizer,443,3,2015_machine_learning_a_bayesian_perspective,False
Characterization of the l1 norm minimizer,444,3,2015_machine_learning_a_bayesian_perspective,False
Geometric interpretation,444,3,2015_machine_learning_a_bayesian_perspective,False
9.6 Uniqueness of the l0 Minimizer,447,2,2015_machine_learning_a_bayesian_perspective,False
9.6.1 Mutual Coherence,449,3,2015_machine_learning_a_bayesian_perspective,False
9.7 Equivalence of l0 and l1 Minimizers: Sufficiency Conditions,451,2,2015_machine_learning_a_bayesian_perspective,False
9.7.1 Condition Implied by the Mutual Coherence Number,451,3,2015_machine_learning_a_bayesian_perspective,False
9.7.2 The Restricted Isometry Property (RIP),452,3,2015_machine_learning_a_bayesian_perspective,False
Constructing matrices that obey the RIP of order k,453,4,2015_machine_learning_a_bayesian_perspective,False
9.8 Robust Sparse Signal Recovery from Noisy Measurements,454,2,2015_machine_learning_a_bayesian_perspective,False
9.9 Compressed Sensing: The Glory of Randomness,455,2,2015_machine_learning_a_bayesian_perspective,False
Compressed sensing,456,3,2015_machine_learning_a_bayesian_perspective,False
9.9.1 Dimensionality Reduction and Stable Embeddings,458,3,2015_machine_learning_a_bayesian_perspective,False
9.9.2 Sub-Nyquist Sampling: Analog-to-Information Conversion,459,3,2015_machine_learning_a_bayesian_perspective,False
9.10 A Case Study: Image De-Noising,463,2,2015_machine_learning_a_bayesian_perspective,False
Problems,465,2,2015_machine_learning_a_bayesian_perspective,False
MATLAB Exercises,467,3,2015_machine_learning_a_bayesian_perspective,False
References,469,2,2015_machine_learning_a_bayesian_perspective,False
Chapter 10: Sparsity-Aware Learning: Algorithms and Applications ,474,1,2015_machine_learning_a_bayesian_perspective,True
10.1 Introduction,475,2,2015_machine_learning_a_bayesian_perspective,False
10.2 Sparsity-Promoting Algorithms,475,2,2015_machine_learning_a_bayesian_perspective,False
10.2.1 Greedy Algorithms,476,3,2015_machine_learning_a_bayesian_perspective,False
OMP can recover optimal sparse solutions: sufficiency condition,478,4,2015_machine_learning_a_bayesian_perspective,False
The LARS algorithm,479,4,2015_machine_learning_a_bayesian_perspective,False
Compressed sensing matching pursuit (CSMP) algorithms,480,4,2015_machine_learning_a_bayesian_perspective,False
10.2.2 Iterative Shrinkage/Thresholding (IST) Algorithms,481,3,2015_machine_learning_a_bayesian_perspective,False
10.2.3 Which Algorithm?: Some Practical Hints,487,3,2015_machine_learning_a_bayesian_perspective,False
10.3 Variations on the Sparsity-Aware Theme,492,2,2015_machine_learning_a_bayesian_perspective,False
10.4 Online Sparsity-Promoting Algorithms,500,2,2015_machine_learning_a_bayesian_perspective,False
10.4.1 LASSO: Asymptotic Performance,500,3,2015_machine_learning_a_bayesian_perspective,False
10.4.2 The Adaptive Norm-Weighted LASSO,502,3,2015_machine_learning_a_bayesian_perspective,False
10.4.3 Adaptive CoSaMP (AdCoSaMP) Algorithm,504,3,2015_machine_learning_a_bayesian_perspective,False
10.4.4 Sparse Adaptive Projection Subgradient Method (SpAPSM),505,3,2015_machine_learning_a_bayesian_perspective,False
Projection onto the weighted l1 ball,507,4,2015_machine_learning_a_bayesian_perspective,False
10.5 Learning Sparse Analysis Models,510,2,2015_machine_learning_a_bayesian_perspective,False
10.5.1 Compressed Sensing for Sparse Signal Representation in Coherent Dictionaries,512,3,2015_machine_learning_a_bayesian_perspective,False
10.5.2 Cosparsity,513,3,2015_machine_learning_a_bayesian_perspective,False
10.6 A Case Study: Time-Frequency Analysis,515,2,2015_machine_learning_a_bayesian_perspective,False
Gabor transform and frames,515,3,2015_machine_learning_a_bayesian_perspective,False
Time-frequency resolution,517,3,2015_machine_learning_a_bayesian_perspective,False
Gabor frames,518,3,2015_machine_learning_a_bayesian_perspective,False
Time-frequency analysis of echolocation signals emitted by bats,518,3,2015_machine_learning_a_bayesian_perspective,False
10.7 Appendix to Chapter 10: Some Hints from the Theory of Frames,522,2,2015_machine_learning_a_bayesian_perspective,False
Problems,525,2,2015_machine_learning_a_bayesian_perspective,False
MATLAB Exercises,526,3,2015_machine_learning_a_bayesian_perspective,False
References,527,2,2015_machine_learning_a_bayesian_perspective,False
Chapter 11: Learning in Reproducing Kernel Hilbert Spaces,534,1,2015_machine_learning_a_bayesian_perspective,True
11.1 Introduction,535,2,2015_machine_learning_a_bayesian_perspective,False
11.2 Generalized Linear Models,535,2,2015_machine_learning_a_bayesian_perspective,False
"11.3 Volterra, Wiener, and Hammerstein Models",536,2,2015_machine_learning_a_bayesian_perspective,False
11.4 Cover's Theorem: Capacity of a Space in Linear Dichotomies,539,2,2015_machine_learning_a_bayesian_perspective,False
11.5 Reproducing Kernel Hilbert Spaces,542,2,2015_machine_learning_a_bayesian_perspective,False
11.5.1 Some Properties and Theoretical Highlights,544,3,2015_machine_learning_a_bayesian_perspective,False
11.5.2 Examples of Kernel Functions,545,3,2015_machine_learning_a_bayesian_perspective,False
Constructing kernels,548,4,2015_machine_learning_a_bayesian_perspective,False
String kernels,549,4,2015_machine_learning_a_bayesian_perspective,False
11.6 Representer Theorem,550,2,2015_machine_learning_a_bayesian_perspective,False
11.6.1 Semiparametric Representer Theorem,552,3,2015_machine_learning_a_bayesian_perspective,False
11.6.2 Nonparametric Modeling: A Discussion,553,3,2015_machine_learning_a_bayesian_perspective,False
11.7 Kernel Ridge Regression,553,2,2015_machine_learning_a_bayesian_perspective,False
11.8 Support Vector Regression,555,2,2015_machine_learning_a_bayesian_perspective,False
11.8.1 The Linear ε-Insensitive Optimal Regression,556,3,2015_machine_learning_a_bayesian_perspective,False
The solution,558,4,2015_machine_learning_a_bayesian_perspective,False
Solving the optimization task,559,4,2015_machine_learning_a_bayesian_perspective,False
11.9 Kernel Ridge Regression Revisited,562,2,2015_machine_learning_a_bayesian_perspective,False
11.10 Optimal Margin Classification: Support Vector Machines,563,2,2015_machine_learning_a_bayesian_perspective,False
11.10.1 Linearly Separable Classes: Maximum Margin Classifiers ,565,3,2015_machine_learning_a_bayesian_perspective,False
The solution,568,4,2015_machine_learning_a_bayesian_perspective,False
The optimization task,569,4,2015_machine_learning_a_bayesian_perspective,False
11.10.2 Nonseparable Classes,570,3,2015_machine_learning_a_bayesian_perspective,False
The solution,571,4,2015_machine_learning_a_bayesian_perspective,False
The optimization task,571,4,2015_machine_learning_a_bayesian_perspective,False
11.10.3 Performance of SVMs and Applications,575,3,2015_machine_learning_a_bayesian_perspective,False
11.10.4 Choice of Hyperparameters,575,3,2015_machine_learning_a_bayesian_perspective,False
11.11 Computational Considerations,576,2,2015_machine_learning_a_bayesian_perspective,False
11.11.1 Multiclass Generalizations,577,3,2015_machine_learning_a_bayesian_perspective,False
11.12 Online Learning in RKHS,578,2,2015_machine_learning_a_bayesian_perspective,False
11.12.1 The Kernel LMS (KLMS),578,3,2015_machine_learning_a_bayesian_perspective,False
11.12.2 The Naive Online Rreg Minimization Algorithm (NORMA),581,3,2015_machine_learning_a_bayesian_perspective,False
Classification: the hinge loss function,583,4,2015_machine_learning_a_bayesian_perspective,False
Regression: the linear ε-insensitive loss function,584,4,2015_machine_learning_a_bayesian_perspective,False
Error bounds and convergence performance,584,4,2015_machine_learning_a_bayesian_perspective,False
11.12.3 The Kernel APSM Algorithm,585,3,2015_machine_learning_a_bayesian_perspective,False
Regression,585,4,2015_machine_learning_a_bayesian_perspective,False
Classification,586,4,2015_machine_learning_a_bayesian_perspective,False
11.13 Multiple Kernel Learning,592,2,2015_machine_learning_a_bayesian_perspective,False
11.14 Nonparametric Sparsity-Aware Learning: Additive Models,593,2,2015_machine_learning_a_bayesian_perspective,False
11.15 A Case Study: Authorship Identification,595,2,2015_machine_learning_a_bayesian_perspective,False
Problems,599,2,2015_machine_learning_a_bayesian_perspective,False
MATLAB Exercises,600,3,2015_machine_learning_a_bayesian_perspective,False
References,603,2,2015_machine_learning_a_bayesian_perspective,False
Chapter 12: Bayesian Learning: Inference and the EM Algorithm,610,1,2015_machine_learning_a_bayesian_perspective,True
12.1 Introduction,611,2,2015_machine_learning_a_bayesian_perspective,False
12.2 Regression: A Bayesian Perspective,611,2,2015_machine_learning_a_bayesian_perspective,False
12.2.1 The Maximum Likelihood Estimator,612,3,2015_machine_learning_a_bayesian_perspective,False
12.2.2 The MAP Estimator,613,3,2015_machine_learning_a_bayesian_perspective,False
12.2.3 The Bayesian Approach,614,3,2015_machine_learning_a_bayesian_perspective,False
12.3 The Evidence Function and Occam's Razor Rule,618,2,2015_machine_learning_a_bayesian_perspective,False
Laplacian approximation and the evidence function,621,3,2015_machine_learning_a_bayesian_perspective,False
12.4 Exponential Family of Probability Distributions,625,2,2015_machine_learning_a_bayesian_perspective,False
12.4.1 The Exponential Family and the Maximum Entropy Method,630,3,2015_machine_learning_a_bayesian_perspective,False
12.5 Latent Variables and the EM Algorithm,631,2,2015_machine_learning_a_bayesian_perspective,False
12.5.1 The Expectation-Maximization Algorithm,631,3,2015_machine_learning_a_bayesian_perspective,False
12.5.2 The EM Algorithm: A Lower Bound Maximization View,633,3,2015_machine_learning_a_bayesian_perspective,False
12.6 Linear Regression and the EM Algorithm,635,2,2015_machine_learning_a_bayesian_perspective,False
12.7 Gaussian Mixture Models,638,2,2015_machine_learning_a_bayesian_perspective,False
12.7.1 Gaussian Mixture Modeling and Clustering,642,3,2015_machine_learning_a_bayesian_perspective,False
12.8 Combining Learning Models: A Probabilistic Point of View,646,2,2015_machine_learning_a_bayesian_perspective,False
12.8.1 Mixing Linear Regression Models,647,3,2015_machine_learning_a_bayesian_perspective,False
Mixture of experts,649,4,2015_machine_learning_a_bayesian_perspective,False
Hierarchical mixture of experts,650,4,2015_machine_learning_a_bayesian_perspective,False
12.8.2 Mixing Logistic Regression Models,650,3,2015_machine_learning_a_bayesian_perspective,False
Problems,653,2,2015_machine_learning_a_bayesian_perspective,False
MATLAB Exercises,654,3,2015_machine_learning_a_bayesian_perspective,False
12.9 Appendix to Chapter 12,656,2,2015_machine_learning_a_bayesian_perspective,False
12.9.1 PDFs with Exponent of Quadratic Form,656,3,2015_machine_learning_a_bayesian_perspective,False
12.9.2 The Conditional from the Joint Gaussian pdf,657,3,2015_machine_learning_a_bayesian_perspective,False
12.9.3 The Marginal from the Joint Gaussian Pdf,658,3,2015_machine_learning_a_bayesian_perspective,False
12.9.4 The Posterior from Gaussian Prior and Conditional Pdfs,659,3,2015_machine_learning_a_bayesian_perspective,False
References,662,2,2015_machine_learning_a_bayesian_perspective,False
Chapter 13: Bayesian Learning: Approximate Inference and Nonparametric Models,664,1,2015_machine_learning_a_bayesian_perspective,True
13.1 Introduction,665,2,2015_machine_learning_a_bayesian_perspective,False
13.2 Variational Approximation in Bayesian Learning,665,2,2015_machine_learning_a_bayesian_perspective,False
The mean field approximation,666,3,2015_machine_learning_a_bayesian_perspective,False
13.2.1 The Case of the Exponential Family of Probability Distributions,669,3,2015_machine_learning_a_bayesian_perspective,False
13.3 A Variational Bayesian Approach to Linear Regression,670,2,2015_machine_learning_a_bayesian_perspective,False
Computation of the lower bound,675,3,2015_machine_learning_a_bayesian_perspective,False
13.4 A Variational Bayesian Approach to Gaussian Mixture Modeling,676,2,2015_machine_learning_a_bayesian_perspective,False
13.5 When Bayesian Inference Meets Sparsity,680,2,2015_machine_learning_a_bayesian_perspective,False
13.6 Sparse Bayesian Learning (SBL),682,2,2015_machine_learning_a_bayesian_perspective,False
13.6.1 The Spike and Slab Method,685,3,2015_machine_learning_a_bayesian_perspective,False
13.7 The Relevance Vector Machine Framework,686,2,2015_machine_learning_a_bayesian_perspective,False
13.7.1 Adopting the Logistic Regression Model for Classification,687,3,2015_machine_learning_a_bayesian_perspective,False
13.8 Convex Duality and Variational Bounds,691,2,2015_machine_learning_a_bayesian_perspective,False
13.9 Sparsity-Aware Regression: A Variational Bound Bayesian Path,696,2,2015_machine_learning_a_bayesian_perspective,False
13.10 Sparsity-Aware Learning: Some Concluding Remarks,700,2,2015_machine_learning_a_bayesian_perspective,False
Parameter identifiability and sparse Bayesian modeling,703,3,2015_machine_learning_a_bayesian_perspective,False
13.11 Expectation Propagation,704,2,2015_machine_learning_a_bayesian_perspective,False
Minimizing the KL divergence,705,3,2015_machine_learning_a_bayesian_perspective,False
The expectation propagation algorithm,706,3,2015_machine_learning_a_bayesian_perspective,False
13.12 Nonparametric Bayesian Modeling,708,2,2015_machine_learning_a_bayesian_perspective,False
13.12.1 The Chinese Restaurant Process,709,3,2015_machine_learning_a_bayesian_perspective,False
13.12.2 Inference,709,3,2015_machine_learning_a_bayesian_perspective,False
13.12.3 Dirichlet Processes,709,3,2015_machine_learning_a_bayesian_perspective,False
13.12.4 The Stick-Breaking Construction of a DP,710,3,2015_machine_learning_a_bayesian_perspective,False
13.13 Gaussian Processes,712,2,2015_machine_learning_a_bayesian_perspective,False
13.13.1 Covariance Functions and Kernels,713,3,2015_machine_learning_a_bayesian_perspective,False
13.13.2 Regression,715,3,2015_machine_learning_a_bayesian_perspective,False
Dealing with hyperparameters,716,4,2015_machine_learning_a_bayesian_perspective,False
Computational considerations,717,4,2015_machine_learning_a_bayesian_perspective,False
13.13.3 Classification,717,3,2015_machine_learning_a_bayesian_perspective,False
13.14 A Case Study: Hyperspectral Image Unmixing,718,2,2015_machine_learning_a_bayesian_perspective,False
13.14.1 Hierarchical Bayesian Modeling,720,3,2015_machine_learning_a_bayesian_perspective,False
13.14.2 Experimental Results,721,3,2015_machine_learning_a_bayesian_perspective,False
Problems,724,2,2015_machine_learning_a_bayesian_perspective,False
MATLAB Exercises,726,3,2015_machine_learning_a_bayesian_perspective,False
References,727,2,2015_machine_learning_a_bayesian_perspective,False
Chapter 14: Monte Carlo Methods,732,1,2015_machine_learning_a_bayesian_perspective,True
14.1 Introduction,732,2,2015_machine_learning_a_bayesian_perspective,False
14.2 Monte Carlo Methods: The Main Concept,733,2,2015_machine_learning_a_bayesian_perspective,False
14.2.1 Random number generation,734,3,2015_machine_learning_a_bayesian_perspective,False
14.3 Random Sampling Based on Function Transformation,736,2,2015_machine_learning_a_bayesian_perspective,False
14.4 Rejection Sampling,740,2,2015_machine_learning_a_bayesian_perspective,False
14.5 Importance Sampling,743,2,2015_machine_learning_a_bayesian_perspective,False
14.6 Monte Carlo Methods and the EM Algorithm,745,2,2015_machine_learning_a_bayesian_perspective,False
14.7 Markov Chain Monte Carlo Methods,746,2,2015_machine_learning_a_bayesian_perspective,False
14.7.1 Ergodic Markov Chains,748,3,2015_machine_learning_a_bayesian_perspective,False
14.8 The Metropolis Method,753,2,2015_machine_learning_a_bayesian_perspective,False
14.8.1 Convergence Issues,756,3,2015_machine_learning_a_bayesian_perspective,False
14.9 Gibbs Sampling,758,2,2015_machine_learning_a_bayesian_perspective,False
14.10 In Search of More Efficient Methods: A Discussion,760,2,2015_machine_learning_a_bayesian_perspective,False
Variational inference or Monte Carlo methods,761,3,2015_machine_learning_a_bayesian_perspective,False
14.11 A Case Study: Change-Point Detection,762,2,2015_machine_learning_a_bayesian_perspective,False
Problems,765,2,2015_machine_learning_a_bayesian_perspective,False
MATLAB Exercise,767,3,2015_machine_learning_a_bayesian_perspective,False
References,767,2,2015_machine_learning_a_bayesian_perspective,False
Chapter 15: Probabilistic Graphical Models: Part I,770,1,2015_machine_learning_a_bayesian_perspective,True
15.1 Introduction,770,2,2015_machine_learning_a_bayesian_perspective,False
15.2 The Need for Graphical Models,771,2,2015_machine_learning_a_bayesian_perspective,False
15.3 Bayesian Networks and the Markov Condition,773,2,2015_machine_learning_a_bayesian_perspective,False
15.3.1 Graphs: Basic Definitions,774,3,2015_machine_learning_a_bayesian_perspective,False
15.3.2 Some Hints on Causality,778,3,2015_machine_learning_a_bayesian_perspective,False
15.3.3 d-separation,780,3,2015_machine_learning_a_bayesian_perspective,False
15.3.4 Sigmoidal Bayesian Networks,783,3,2015_machine_learning_a_bayesian_perspective,False
15.3.5 Linear Gaussian Models,784,3,2015_machine_learning_a_bayesian_perspective,False
15.3.6 Multiple-Cause Networks,785,3,2015_machine_learning_a_bayesian_perspective,False
"15.3.7 I-Maps, Soundness, Faithfulness, and Completeness",786,3,2015_machine_learning_a_bayesian_perspective,False
15.4 Undirected Graphical Models,787,2,2015_machine_learning_a_bayesian_perspective,False
15.4.1 Independencies and I-Maps in Markov Random Fields,788,3,2015_machine_learning_a_bayesian_perspective,False
15.4.2 The Ising Model and Its Variants,790,3,2015_machine_learning_a_bayesian_perspective,False
15.4.3 Conditional Random Fields (CRFs),792,3,2015_machine_learning_a_bayesian_perspective,False
15.5 Factor Graphs,793,2,2015_machine_learning_a_bayesian_perspective,False
15.5.1 Graphical Models for Error-Correcting Codes,795,3,2015_machine_learning_a_bayesian_perspective,False
15.6 Moralization of Directed Graphs,797,2,2015_machine_learning_a_bayesian_perspective,False
15.7 Exact Inference Methods: Message-Passing Algorithms,798,2,2015_machine_learning_a_bayesian_perspective,False
15.7.1 Exact Inference in Chains,798,3,2015_machine_learning_a_bayesian_perspective,False
15.7.2 Exact Inference in Trees,802,3,2015_machine_learning_a_bayesian_perspective,False
15.7.3 The Sum-Product Algorithm,803,3,2015_machine_learning_a_bayesian_perspective,False
15.7.4 The Max-Product and Max-Sum Algorithms,807,3,2015_machine_learning_a_bayesian_perspective,False
Problems,814,2,2015_machine_learning_a_bayesian_perspective,False
References,816,2,2015_machine_learning_a_bayesian_perspective,False
Chapter 16: Probabilistic Graphical Models: Part II,820,1,2015_machine_learning_a_bayesian_perspective,True
16.1 Introduction,820,2,2015_machine_learning_a_bayesian_perspective,False
16.2 Triangulated Graphs and Junction Trees,821,2,2015_machine_learning_a_bayesian_perspective,False
16.2.1 Constructing a Join Tree,824,3,2015_machine_learning_a_bayesian_perspective,False
16.2.2 message-passing in Junction Trees,826,3,2015_machine_learning_a_bayesian_perspective,False
16.3 Approximate Inference Methods,829,2,2015_machine_learning_a_bayesian_perspective,False
16.3.1 Variational Methods: Local Approximation,829,3,2015_machine_learning_a_bayesian_perspective,False
Multiple-cause networks and the noisy-OR model,830,4,2015_machine_learning_a_bayesian_perspective,False
